Date,Timestamp,Class,Lab,Anki,Volunteering,Research,Other,Self-Study,Dow,Month,Year,Day,Sum,Term,yearLabel,MS2Block,MS3Rotation,MS4Rotation
2020-08-25,8/25/2020 22:02:24,290.0,0.0,50.0,0.0,0.0,0.0,155.0,1,8,2020,25,495.0,Fall,MS1,,,
2020-08-26,8/26/2020 22:08:02,342.0,0.0,90.0,0.0,60.0,25.0,36.0,2,8,2020,26,553.0,Fall,MS1,,,
2020-08-27,8/27/2020 21:39:47,225.0,0.0,102.0,0.0,52.0,0.0,63.0,3,8,2020,27,442.0,Fall,MS1,,,
2020-08-28,8/28/2020 14:42:04,115.0,0.0,68.0,0.0,20.0,120.0,0.0,4,8,2020,28,323.0,Fall,MS1,,,
2020-08-29,8/30/2020 9:17:21,0.0,0.0,24.0,0.0,0.0,0.0,10.0,5,8,2020,29,34.0,Fall,MS1,,,
2020-08-30,8/30/2020 21:56:54,40.0,0.0,64.0,0.0,0.0,15.0,0.0,6,8,2020,30,119.0,Fall,MS1,,,
2020-08-31,8/31/2020 21:33:01,132.0,0.0,161.0,0.0,70.0,15.0,236.0,0,8,2020,31,614.0,Fall,MS1,,,
2020-09-01,9/1/2020 21:41:42,261.0,0.0,124.0,0.0,30.0,25.0,0.0,1,9,2020,1,440.0,Fall,MS1,,,
2020-09-02,9/3/2020 6:46:27,283.0,0.0,55.0,0.0,110.0,81.0,66.0,2,9,2020,2,595.0,Fall,MS1,,,
2020-09-03,9/3/2020 22:31:27,365.0,0.0,72.0,0.0,0.0,15.0,174.0,3,9,2020,3,626.0,Fall,MS1,,,
2020-09-04,9/4/2020 14:30:07,138.0,0.0,122.0,0.0,0.0,83.0,87.0,4,9,2020,4,430.0,Fall,MS1,,,
2020-09-05,9/6/2020 10:56:58,0.0,0.0,61.0,0.0,0.0,0.0,0.0,5,9,2020,5,61.0,Fall,MS1,,,
2020-09-06,9/7/2020 8:05:21,0.0,0.0,53.0,0.0,0.0,0.0,7.0,6,9,2020,6,60.0,Fall,MS1,,,
